doi,paragraph,synthesis_label
10.1002/adfm.201910118,"Scheme 1. Schematic illustration for the preparation of Cu/VG-Ar. Surface treatment (ST) using Ar-plasma (RF induced, 13.56?MHz, 1000 W) was used to clean the surface. Plasma enhanced chemical vapor deposition (PECVD) was used to grow vertical graphene (VG). Plused galvanostatic electrodeposition (PED, ?0.015 A, 1 s pulse, and 7 s delay for 67 cycles) was used to deposit Cu nanoparticles on VG using a Cu aqueous solution (0.02 m CuSO4, 0.15 m lactic acid) as the Cu precursor. 1910118 (3 of 12) ? 2020 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim",1
10.1002/adfm.201910118,"Material Synthesis: Synthesis of VG-Ar and VG: VG-Ar and VG were prepared via a PECVD method. In the first step, commercial carbon fiber paper (CP, Toray 060) was treated by an RF induced Ar-plasma (10 sccm Ar flow, 13.56?MHz, 1000 W) and employed as the substrate for follow-up growth of VG. Afterward, H2 and CH4 (10 sccm each) were introduced into the chamber as the precursor of VG. Then, VG grew under plasma irradiation for 10?min before the chamber was evacuated again to eliminate all of the gas precursors. Next, Ar-plasma was reignited to treat the synthesized VG for another 1? min to obtain the VG-Ar. Commercial graphene paper (GP, Sigma-Aldrich) was used as a control support.",1
10.1002/adfm.201910118,"Synthesis of Cu/VG-Ar, Cu/VG, and Cu/GP: The Cu/VG-Ar, Cu/VG, and Cu/GP were prepared through a galvanostatic PED method. The Cu precursor used for PED was prepared by CuSO4?5H2O (0.02 m, SigmaAldrich, 98%) and latic acid (0.15 m, Sigma-Aldrich, 90%), the pH of which was adjusted to 7.0 by NaOH solution (Saturated, Sigma-Aldrich, 98%). VG-Ar, VG, and GP were used as working electrode in a threeelectrode system connected to an Autolab potentiostat (PGSTAT204) for the Cu deposition (Pt foil as counter electrode and Ag/AgCl electrode as reference electrode). All PED pulses were 1s in length (?0.015 A) with a 7 s delay (0 A), 67 pulses were conducted to control the Cu deposition amount.",1
10.1002/adfm.202101255,"Growth of the Au NBPs: The starting Au NBPs were prepared using a seed-mediated growth method in combination with a depletion forceinduced purification process.[54,55] Specifically, the seed solution was made by injecting a freshly prepared, ice-cold NaBH4 solution (10?mm, 125 米L) into an aqueous solution containing HAuCl4 (10?mm, 125 米L), TSC (10?mm, 250 米L), and deionized water (9.625?mL) under vigorous stirring. The resultant seed solution was kept at room temperature for at least 2 h prior to use. The growth solution was prepared by the sequential addition of HAuCl4 (10?mm, 2?mL), AgNO3 (10?mm, 400 米L), HCl (1 m, 800 米L), and AA (0.1 m, 320 米L) into CTAB aqueous solution (0.1 m, 40? mL). The seed solution (200 米L) was then injected into the growth solution, followed by gentle inversion mixing for 10 s. The resultant solution was kept undisturbed overnight at room temperature. The obtained Au NBPs were further purified using a depletion forceinduced purification process.[55]",1
10.1002/adfm.202101255,"Growth of the Au NBP每Cu Janus Nanostructures: Typically, the obtained Au NBP solution (5?mL) was centrifuged at 7500?rpm for 10?min, followed by washing with deionized water (5?mL) to remove the excess surfactant. The precipitate was redispersed in a CTAB solution (0.5? mm, 0.5? mL) to get a final CTAB concentration of 100 米m. For the overgrowth of Cu nanodomains on the Au NBPs, HDA (12?mg) was added in boiling water (8.575? mL) in a 25-mL three-necked round-bottom flask and refluxed in an oil bath at 100? ～C under magnetic stirring. After the complete dissolution of HDA, CuCl2 solution (0.1 m, 100 米L) was added and the mixture was kept stirring for more than 10?min to form the Cu(II)每HDA complexes. To initiate the overgrowth, the Au NBP solution (optical density at the longitudinal dipole plasmon wavelength = 15, 500 米L) was added, followed by the injection of AA solution (0.2 m, 825 米L). The total volume of the solution was adjusted to 10?mL by adding deionized water and the final concentrations of CTAB and HDA were 100 米m and 5?mm, respectively. The resultant solution was further refluxed at 100?～C for 1 h to produce the Au NBP每Cu JNCs, followed by cooling down to room temperature naturally.",1
10.1002/adfm.202101668,"The synthesis used in these experiments was modified from multiple sources.[64,73,74,77,78] Figure?1a highlights the key synthesis 2101668 (3 of 10) ? 2021 Wiley-VCH GmbH steps and features, including the gas environment, solvent and capping agents, and temperature profile throughout the process. The starting Cu solution contained Cu(acac)2, oleylamine (OAm), and diphenyl ether (DPE). A Schlenk line was used to evacuate the flask and to introduce CO gas. The temperature was slowly ramped to 220? ～C (1.6? ～C min?1) and held for 2 h. The vessel was then cooled to 30? ～C. A portion of the NPs, labeled as CuCore, was taken at this point for characterization. For the formation of Cu@Ag NPs, a solution of AgOCOCF3 dissolved in OAm was slowly injected (1?mg Ag h?1) to the CuCore suspension at 30?～C while CO was flowing. The injection lasted 10 h and the mixture was stirred for an additional 12 h to ensure uniform growth of the Ag-enriched shell.[69,70] The CuCore and Cu@Ag NPs were collected by centrifugation, washed with hexane and methanol, and dispersed in hexane for further use. Figure? 1b is a proposed atomic scheme for the formation of the Cu@Ag NPs through the process outlined in Figure?1a. Figure?2 analyzes the ultraviolet-visible (UV每vis) absorption spectra of the Cu@Ag NPs after different durations of time for the addition of silver using the characteristic UV每vis peaks for Cu (580? nm) and Ag (410? nm). The Ag peak, which was initially absent, appeared after the reaction for 3 h, and significantly increased after 10 h. This observation suggests an increase in the thickness of the Ag-enriched shell during the reaction process. Transmission electron microscopic (TEM) images show the particles uniformly grew from the 6.5?nm CuCore NPs (Figure?3a) to form Cu@Ag",1
10.1002/adfm.202101668,"Preparation of Cu Nanoparticles (CuCore): The synthesis of NPs used in these experiments was modified from multiple sources.[64,73,74,77,78] The growth of the Cu NPs was achieved in a single pot under a CO gas environment. The details of the original designs were reported elsewhere.[64,74] The schematic for the typical synthesis is provided in Figure?1a. In a standard procedure, Cu(acac)2 (16?mg) was dissolved in OAm (9?mL) in a three-neck flask. DPE was added at a concentration of 120 米m. The resulting turquoise-blue solution was placed in an oil bath at 30?～C and continuously stirred during the following steps. A Schlenk line was purged using Ar gas and applied vacuum with a vacuum pump (Edwards, RV12). Before switching to Ar, the line was held under vacuum for 5? min to remove oxygen gas from the system. This process was repeated six times. Carbon monoxide gas was then introduced at a flow rate of 90 sccm. Caution: CO gas is toxic and should be handled with extra care in a well-vented chemical hood equipped with a CO detector. The temperature was maintained at 30?～C for 30?min, followed by being heated at a ramp rate of 1.6?～C min?1 to 220?～C using an oil bath. The color of the solution changed from transparent blue-green to yellow to reddish-brown during heating. The temperature of the vessel was kept at 220?～C for 2 h to ensure the completion of the reaction. Afterwards, the vessel was removed from the oil bath, allowed to cool naturally in about 1.5 h, and then placed in a second oil bath at 30? ～C, all while flowing CO. A portion of the NPs, labeled as CuCore, was taken at this point for characterization. The effects of the concentration of DPE on the formation of CuCore NPs were tested at 0, 60, and 120 米m, respectively, while keeping all other conditions the same.",1
10.1002/adfm.202101668,"Preparation of Ag-Coated Cu Nanoparticles: An AgOCOCF3 solution was prepared by adding a predetermined amount to OAm (2?mg mL?1) in a 10? mL vial. The vial was sonicated for 30? min to ensure the salt was completely dissolved. A syringe pump (Chemyx Inc., F100) was used to inject 5?mL of the AgOCOCF3 solution into the three-neck flask that contained the suspension of CuCore at 30?～C while CO was flowing (the final step shown in Figure? 1a). The infusion rate of the Ag precursor solution was set at 0.5?mL h?1 (1?mg Ag h?1) to ensure uniform growth of the Ag-enriched shell.[81,82] After 5?mL of the Ag precursor solution was added (10?mg added in 10 h), the mixture was stirred for an additional 12 h while maintaining the temperature at 30? ～C and a flowrate of CO gas at 90 sccm. The formed NPs were collected by centrifugation (Beckman Coulter Model X-30) at 5000?rpm for 10?min, followed by washing with hexane as the dispersing agent (3?mL) and methanol as the antisolvent (17?mL). The particles, labeled as Cu@Ag, were dispersed in hexane for further use.",1
10.1002/adfm.202101668,"Preparation of the Electrocatalysts: The Cu@Ag NPs were loaded on Ketjen black carbon at a nominal mass loading of 20% of total metals. The mass concentration of the suspension in hexane was determined by thermogravimetric analysis (TGA, Model: Q50) to be approximately 1? mg metal mL?1. Three sets of data were collected by TGA and the average value was used to ensure the accuracy. Next, 10? mg of Ketjen black carbon was added in hexane (0.5? mg C mL?1 hexane) and sonicated for 30? min. The Cu@Ag NP suspension (2? mg of the solid) was added dropwise in ＞5?min. The carbon suspension in hexane was continuously stirred during the addition of Cu@Ag NPs and kept on for an additional hour afterwards. The resulting suspension was sonicated for 1 h, and the solids were separated using centrifugation (5000? rpm, 10? min). The particles were then dissolved in butylamine (1? mL mg?1) to remove the organic materials from the surface for electrocatalytic activation.[83,84] This suspension was continuously stirred for 72 h while covered. The solid product was removed from the butylamine solvent by centrifugation (5000? rpm, 10? min) and washed once using hexane. The final Cu@Ag/C electrocatalyst was obtained by drying in Ar gas at room temperature. This synthesis procedure of carbon-supported electrocatalyst was done for three samples: CuCore (120 米m DPE), Cu@Ag (120 米m DPE), and Cu@Ag (0 米m).",1
10.1002/adfm.202101668,"Preparation of the Electrodes: The cathode catalysts were deposited via hand-painting on a carbon gas diffusion layer (GDL, Sigracet 35BC, Fuel Cell Store). A carbon-supported Cu@Ag electrocatalyst (2?mg) was mixed with THF (200?米L), IPA (200?米L), and Nafion (5.2?米L) to prepare the ink. The concentration of Nafion was 10? wt.% in the catalyst layer. The mixture was then sonicated for 20? min. The ink was then handpainted on the cathode at a loading of 1.0?mg cm?2. This procedure was repeated for the CuCore and Cu@Ag (0 米m) electrocatalysts. The inks for CuRef. and AgRef. were prepared similarly with the exception that DI water was used instead of THF. The anode material, IrO2, was deposited by spray-coating with a loading of 1.0?mg cm?2 as reported previously.[73]",1
